# TYPE: EVALUATIONS
Bush,Kerr,Nade,Chen,Edwa,LBus,HCli,BCli,Powe,Ashc,McCa,DemP,RepP
100,50,50,100,50,100,50,50,100,50,70,15,85
100,0,50,85,0,100,0,0,85,100,50,30,85
60,30,100,15,30,50,0,85,40,50,85,30,30
85,15,40,70,50,70,30,15,70,60,70,30,60
50,70,85,60,100,70,100,100,85,30,50,70,50
30,70,15,15,60,85,70,85,70,60,60,50,30
100,0,0,100,0,100,0,0,100,100,85,15,100
60,50,60,50,60,100,85,100,60,60,60,50,50
0,70,60,50,85,50,30,60,100,50,85,40,85
0,60,70,0,40,0,30,30,30,0,60,0,0
90,0,10,90,0,100,0,30,95,95,40,10,80
40,100,0,0,100,85,70,70,100,70,85,70,40
100,60,50,85,60,85,60,60,100,70,100,60,85
15,70,60,15,70,85,70,85,70,30,60,50,30
70,60,50,60,50,70,85,60,60,50,50,60,60
85,40,30,70,40,100,30,60,85,60,70,30,70
15,15,0,50,50,15,70,70,50,50,30,50,50
50,75,22,21,90,50,80,75,100,80,100,75,50
85,40,60,40,50,85,0,85,40,15,60,60,70
85,0,40,85,50,85,40,40,100,70,70,50,70
95,5,70,80,30,90,0,20,50,90,90,20,70
100,25,50,90,50,100,25,25,100,75,100,25,90
100,40,0,50,30,85,70,50,100,50,50,50,100
85,30,50,75,40,80,25,35,90,70,75,25,60
100,30,30,85,30,85,0,0,70,60,50,30,70
10,60,60,30,70,50,90,80,50,10,60,50,10
85,85,70,85,85,70,70,85,85,60,70,85,85
15,15,0,15,0,30,15,15,50,15,50,15,15
70,50,50,60,70,85,70,60,70,60,70,60,70
15,50,50,0,50,50,50,50,30,0,30,40,30
15,85,50,0,60,85,60,70,85,60,50,85,40
85,40,50,70,40,85,60,50,70,60,60,60,70
50,60,0,60,70,15,85,100,85,60,60,70,50
100,30,50,85,30,100,30,40,85,70,85,40,85
100,40,50,85,40,100,15,15,85,85,85,15,100
85,50,60,60,50,85,30,60,100,50,50,60,85
0,85,50,15,70,70,50,50,85,50,50,60,70
70,60,15,40,60,75,60,70,85,50,85,70,70
0,85,40,0,100,85,100,100,40,0,50,85,0
40,85,60,30,85,100,70,100,85,40,85,70,30
70,30,0,70,0,100,85,50,85,0,60,60,60
100,40,60,100,40,100,40,40,100,100,100,0,100
100,40,60,85,30,100,0,60,100,85,85,40,85
85,30,30,85,15,70,30,30,85,70,50,50,85
100,0,15,100,15,100,0,15,85,85,70,15,85
70,30,15,40,50,85,30,60,85,30,85,40,60
100,70,70,70,60,85,70,85,85,60,50,70,85
15,85,50,0,85,0,70,70,30,50,60,70,0
85,30,50,85,30,85,0,30,60,60,70,40,60
85,0,50,70,30,85,15,0,100,60,100,0,100
100,0,0,100,0,100,0,0,85,100,50,0,100
100,0,50,100,15,100,0,0,100,85,60,15,100
100,0,50,85,50,85,0,40,85,50,60,30,100
