,Bush,Kerr,Nade,Chen,Edwa,LBus,HCli,BCli,Powe,Ashc,McCa,DemP,RepP
0,100,50,50,100,50,100,50,50,100,50,70,15,85
1,100,0,50,85,0,100,0,0,85,100,50,30,85
2,60,30,100,15,30,50,0,85,40,50,85,30,30
3,85,15,40,70,50,70,30,15,70,60,70,30,60
4,50,70,85,60,100,70,100,100,85,30,50,70,50
5,30,70,15,15,60,85,70,85,70,60,60,50,30
6,100,0,0,100,0,100,0,0,100,100,85,15,100
7,60,50,60,50,60,100,85,100,60,60,60,50,50
8,0,70,60,50,85,50,30,60,100,50,85,40,85
9,0,60,70,0,40,0,30,30,30,0,60,0,0
10,90,0,10,90,0,100,0,30,95,95,40,10,80
11,40,100,0,0,100,85,70,70,100,70,85,70,40
12,100,60,50,85,60,85,60,60,100,70,100,60,85
13,70,60,50,60,50,70,85,60,60,50,50,60,60
14,85,40,30,70,40,100,30,60,85,60,70,30,70
15,15,15,0,50,50,15,70,70,50,50,30,50,50
16,50,75,22,21,90,50,80,75,100,80,100,75,50
17,85,40,60,40,50,85,0,85,40,15,60,60,70
18,85,0,40,85,50,85,40,40,100,70,70,50,70
19,95,5,70,80,30,90,0,20,50,90,90,20,70
20,100,25,50,90,50,100,25,25,100,75,100,25,90
21,100,40,0,50,30,85,70,50,100,50,50,50,100
22,85,30,50,75,40,80,25,35,90,70,75,25,60
23,100,30,30,85,30,85,0,0,70,60,50,30,70
24,85,85,70,85,85,70,70,85,85,60,70,85,85
25,15,15,0,15,0,30,15,15,50,15,50,15,15
26,15,85,50,0,60,85,60,70,85,60,50,85,40
27,85,40,50,70,40,85,60,50,70,60,60,60,70
28,50,60,0,60,70,15,85,100,85,60,60,70,50
29,100,30,50,85,30,100,30,40,85,70,85,40,85
30,100,40,50,85,40,100,15,15,85,85,85,15,100
31,85,50,60,60,50,85,30,60,100,50,50,60,85
32,0,85,50,15,70,70,50,50,85,50,50,60,70
33,0,85,40,0,100,85,100,100,40,0,50,85,0
34,70,30,0,70,0,100,85,50,85,0,60,60,60
35,100,40,60,100,40,100,40,40,100,100,100,0,100
36,100,40,60,85,30,100,0,60,100,85,85,40,85
37,85,30,30,85,15,70,30,30,85,70,50,50,85
38,70,30,15,40,50,85,30,60,85,30,85,40,60
39,100,70,70,70,60,85,70,85,85,60,50,70,85
40,15,85,50,0,85,0,70,70,30,50,60,70,0
41,100,0,0,100,0,100,0,0,85,100,50,0,100
42,100,0,50,100,15,100,0,0,100,85,60,15,100
43,50,50,50,50,50,50,50,50,50,50,50,50,50
44,85,50,40,50,60,100,30,70,100,70,70,40,60
45,100,0,0,85,0,100,50,50,85,85,85,15,85
46,85,30,50,0,60,100,15,1,85,60,70,40,85
47,40,60,50,0,100,70,0,6,70,50,100,60,40
48,0,70,40,15,70,50,70,85,40,50,60,70,0
49,100,0,60,85,0,100,50,0,100,50,50,0,100
50,100,40,15,85,40,100,40,40,100,100,70,40,60
51,85,15,0,70,0,85,0,40,70,60,60,30,60
52,15,85,60,15,85,60,70,85,60,60,85,85,30
53,0,85,50,0,85,40,100,85,50,50,85,70,0
54,85,15,50,70,60,85,0,0,85,60,60,40,70
55,30,60,0,15,70,40,85,70,60,0,60,70,30
56,0,85,0,50,85,0,100,100,50,50,60,100,30
57,85,70,60,70,50,85,85,50,60,60,60,70,60
58,15,85,30,70,50,85,100,100,100,50,60,100,15
59,30,60,15,60,65,55,65,75,80,45,70,40,40
60,70,30,50,60,30,85,0,0,85,50,50,0,85
61,100,15,15,70,50,100,60,70,100,70,60,70,70
62,0,85,60,15,60,30,85,100,85,50,50,70,30
63,70,15,15,0,40,50,70,40,0,60,50,70,50
64,0,85,50,15,85,70,70,70,85,30,85,85,30
65,90,0,0,70,0,95,0,0,85,90,75,50,50
66,100,60,50,0,70,100,85,100,85,70,85,60,70
67,0,85,30,0,70,50,70,85,60,0,50,85,15
68,100,50,50,100,60,100,40,50,100,85,70,70,85
69,50,0,30,70,0,60,0,30,40,15,85,15,60
70,15,60,0,0,60,40,70,70,70,30,50,70,60
71,50,70,0,15,60,60,70,100,70,50,60,70,50
72,50,100,85,70,100,85,100,100,85,0,100,85,40
73,100,15,40,100,0,100,0,0,100,85,100,15,85
